"No.","Time","Source","Destination","Protocol","Length","Info"
"84","7.563158","192.168.31.102","172.217.167.227","QUIC","75","Protected Payload (KP0), DCID=e8d1d323a3a58e52"
"85","7.597664","172.217.167.227","192.168.31.102","QUIC","570","Protected Payload (KP0)"
"86","7.597664","172.217.167.227","192.168.31.102","QUIC","64","Protected Payload (KP0)"
"87","7.597908","192.168.31.102","172.217.167.227","QUIC","79","Protected Payload (KP0), DCID=e8d1d323a3a58e52"
"88","7.597969","192.168.31.102","172.217.167.227","QUIC","75","Protected Payload (KP0), DCID=e8d1d323a3a58e52"
"89","7.633243","172.217.167.227","192.168.31.102","QUIC","65","Protected Payload (KP0)"
"90","7.681144","192.168.31.102","192.168.31.1","DNS","76","Standard query 0xc55c A drive.google.com"
"91","7.681284","192.168.31.102","192.168.31.1","DNS","76","Standard query 0xf8f2 HTTPS drive.google.com"
"92","7.681477","192.168.31.102","142.251.43.170","QUIC","172","Protected Payload (KP0), DCID=eeb97b3a32111994"
"93","7.718960","192.168.31.1","192.168.31.102","DNS","92","Standard query response 0xc55c A drive.google.com A 142.250.193.142"
"94","7.719641","192.168.31.1","192.168.31.102","DNS","126","Standard query response 0xf8f2 HTTPS drive.google.com SOA ns1.google.com"
"95","7.720290","192.168.31.102","142.250.193.142","QUIC","1292","Initial, DCID=593a2f32dc40a969, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, PING, PING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO"
"96","7.720334","192.168.31.102","142.250.193.142","QUIC","1292","Initial, DCID=593a2f32dc40a969, PKN: 2, PING, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING"
"97","7.739767","142.251.43.170","192.168.31.102","QUIC","70","Protected Payload (KP0)"
"98","7.747225","142.250.193.142","192.168.31.102","QUIC","82","Initial, SCID=f93a2f32dc40a969, PKN: 1, ACK"
"99","7.747225","142.250.193.142","192.168.31.102","QUIC","1292","Initial, SCID=f93a2f32dc40a969, PKN: 2, ACK, PADDING"
"100","7.747225","142.250.193.142","192.168.31.102","QUIC","1292","Initial, SCID=f93a2f32dc40a969, PKN: 3, CRYPTO, PADDING"
"101","7.748062","142.250.193.142","192.168.31.102","QUIC","1292","Initial, SCID=f93a2f32dc40a969, PKN: 4, CRYPTO, PADDING"
"102","7.748401","192.168.31.102","142.250.193.142","QUIC","1292","Initial, DCID=f93a2f32dc40a969, PKN: 3, ACK, PADDING"
"103","7.772102","192.168.31.102","142.251.43.170","QUIC","74","Protected Payload (KP0), DCID=eeb97b3a32111994"
"104","7.788218","192.168.31.102","142.250.193.142","TCP","66","53121  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"105","7.788335","192.168.31.102","142.250.193.142","QUIC","79","Handshake, DCID=f93a2f32dc40a969"
"106","7.838871","142.250.193.142","192.168.31.102","QUIC","1292","Handshake, SCID=f93a2f32dc40a969"
"107","7.838934","142.250.193.142","192.168.31.102","QUIC","1292","Handshake, SCID=f93a2f32dc40a969"
"108","7.838945","142.250.193.142","192.168.31.102","QUIC","857","Protected Payload (KP0)"
"109","7.839119","192.168.31.102","142.250.193.142","QUIC","81","Handshake, DCID=f93a2f32dc40a969"
"110","7.839203","192.168.31.102","142.250.193.142","QUIC","82","Handshake, DCID=f93a2f32dc40a969"
"111","7.848525","142.250.193.142","192.168.31.102","TCP","66","443  >  53121 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1282 SACK_PERM WS=256"
"112","7.848525","142.250.193.142","192.168.31.102","QUIC","152","Protected Payload (KP0)"
"113","7.848525","142.250.193.142","192.168.31.102","QUIC","1292","Handshake, SCID=f93a2f32dc40a969"
"114","7.848623","192.168.31.102","142.250.193.142","TCP","54","53121  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"115","7.848911","192.168.31.102","142.250.193.142","TCP","1336","53121  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1282 [TCP PDU reassembled in 116]"
"116","7.848911","192.168.31.102","142.250.193.142","TLSv1.3","562","Client Hello (SNI=drive.google.com)"
"117","7.849031","192.168.31.102","142.250.193.142","QUIC","83","Handshake, DCID=f93a2f32dc40a969"
"118","7.849242","192.168.31.102","142.250.193.142","QUIC","83","Handshake, DCID=f93a2f32dc40a969"
"119","7.850133","192.168.31.102","142.250.193.142","QUIC","125","Handshake, DCID=f93a2f32dc40a969"
"120","7.850236","192.168.31.102","142.250.193.142","QUIC","115","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"121","7.850474","192.168.31.102","142.250.193.142","QUIC","76","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"122","7.850680","192.168.31.102","142.250.193.142","QUIC","1288","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"123","7.850715","192.168.31.102","142.250.193.142","QUIC","1292","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"124","7.850760","192.168.31.102","142.250.193.142","QUIC","757","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"125","7.850787","192.168.31.102","142.250.193.142","QUIC","122","Protected Payload (KP0), DCID=f93a2f32dc40a969"
"126","7.858900","142.251.43.170","192.168.31.102","QUIC","226","Protected Payload (KP0)"
"127","7.858900","142.251.43.170","192.168.31.102","QUIC","279","Protected Payload (KP0)"
"128","7.859191","192.168.31.102","142.251.43.170","QUIC","77","Protected Payload (KP0), DCID=eeb97b3a32111994"
"129","7.886786","142.250.193.142","192.168.31.102","QUIC","152","Protected Payload (KP0)"
"130","7.886786","142.250.193.142","192.168.31.102","QUIC","1292","Handshake, SCID=f93a2f32dc40a969"
"131","7.886786","142.250.193.142","192.168.31.102","QUIC","81","Handshake, SCID=f93a2f32dc40a969"
"132","7.886786","142.250.193.142","192.168.31.102","QUIC","988","Protected Payload (KP0)"
